Experience with data visualization,Years of school,0
1.0,0.0,4
1.0,6.0,5
1.0,7.0,1
1.0,8.0,1
1.0,9.0,2
1.0,10.0,4
1.0,11.0,2
1.0,12.0,40
1.0,13.0,16
1.0,14.0,22
1.0,15.0,44
1.0,16.0,338
1.0,17.0,41
1.0,18.0,64
1.0,19.0,18
1.0,20.0,495
2.0,0.0,1
2.0,6.0,3
2.0,7.0,2
2.0,8.0,2
2.0,10.0,6
2.0,11.0,1
2.0,12.0,14
2.0,13.0,3
2.0,14.0,11
2.0,15.0,22
2.0,16.0,185
2.0,17.0,31
2.0,18.0,39
2.0,19.0,17
2.0,20.0,349
3.0,0.0,1
3.0,6.0,3
3.0,8.0,1
3.0,10.0,8
3.0,12.0,10
3.0,13.0,3
3.0,14.0,15
3.0,15.0,21
3.0,16.0,185
3.0,17.0,31
3.0,18.0,54
3.0,19.0,15
3.0,20.0,329
4.0,0.0,1
4.0,6.0,1
4.0,10.0,1
4.0,11.0,1
4.0,12.0,5
4.0,13.0,3
4.0,15.0,2
4.0,16.0,46
4.0,17.0,8
4.0,18.0,14
4.0,19.0,7
4.0,20.0,126
5.0,6.0,1
5.0,8.0,1
5.0,10.0,3
5.0,12.0,4
5.0,14.0,1
5.0,15.0,4
5.0,16.0,21
5.0,17.0,5
5.0,18.0,5
5.0,20.0,34
